Iteration,Accuracy
50,0.0798536585366
100,0.4762926829268
150,0.6963170731707
200,0.7435853658537
250,0.8162195121951
300,0.8422195121951
350,0.8562682926829
400,0.8660975609756
450,0.8729512195122
500,0.8788536585366
550,0.8839512195122
600,0.8881463414634
650,0.8923170731707
700,0.8959512195122
750,0.8985365853659
800,0.9009268292683
850,0.9030975609756
900,0.9056097560976
950,0.9075365853659
1000,0.9090487804878
1050,0.9105609756098
1100,0.9121707317073
1150,0.9133414634146
1200,0.9143658536585
1250,0.9150975609756
1300,0.9162926829268
1350,0.9173658536585
1400,0.9179268292683
1450,0.9188292682927
1500,0.9196097560976
"W1: [[-0.1862241  -0.03133255  0.4585639  ...  0.45088758 -0.07911158
   0.10466263]
 [ 0.35838271 -0.24938928  0.10556335 ...  0.38136647 -0.25234615
  -0.29537208]
 [ 0.15167503  0.27739397  0.26563142 ... -0.03007192 -0.06063174
   0.49890673]
 ...
 [ 0.17060327  0.14064424  0.24172689 ... -0.11054289  0.45987065
  -0.12298906]
 [ 0.43705012 -0.12202468  0.20516748 ... -0.08824563  0.05290965
   0.40385766]
 [ 0.31072076  0.0205103  -0.22400312 ... -0.37247708  0.34813946
   0.27107868]], b1: [[ 1.96735332]
 [-0.2103017 ]
 [-0.34907403]
 [-0.49402125]
 [-0.10077348]
 [ 0.61078098]
 [-0.34285851]
 [-0.04955309]
 [-1.11839167]
 [ 0.70620388]], W2: [[-0.44886366 -0.39371126  1.16080417 -0.03885454 -1.23235686 -0.38924465
  -0.47794119 -1.24466261 -1.15695314  0.26293182]
 [ 0.67855898  0.42126807 -0.40347985  0.10794966  0.39425721  0.14789084
  -0.36862545  0.70252351  0.89691882 -0.4172894 ]
 [ 0.33348235  1.12538267  0.08616407  0.31232442  0.17769162  0.93977631
  -0.67933419  0.04228131 -0.95843725 -0.19409769]
 [ 0.92884888  0.05787724  0.07866872  0.50655287  0.13541808 -0.16833829
  -0.43312299  0.25114377 -0.54824822  0.25367233]
 [-0.01662663 -0.96708214 -0.50250678 -0.27985701  0.10488572 -0.31346314
   0.98478634  0.76203259  0.40208976 -1.05246217]
 [ 0.18479563 -0.56522105  0.38533249 -0.08061018  0.74569977 -0.12750556
  -0.33390552  0.72602537  0.74021248  0.99473658]
 [-0.43395896  0.07374589  0.37122997 -0.22451502  0.21392826  0.87192897
   0.01803764 -0.32216971  0.27685453 -0.00821783]
 [-0.02339103  0.58191674 -0.52596951  1.26719751  0.19353489  0.32239615
  -0.26474585  0.58651734  0.08651059 -0.05020419]
 [ 0.38509909  0.40171246  0.17696705 -0.3376798   0.1701851  -0.66955168
   0.31886196  0.0347367  -0.0781437  -0.52724624]
 [ 0.10889278 -0.13934881 -0.57784459  0.48625498 -0.36413907 -0.877654
   0.64662006  0.14160127  0.33254701  0.06698772]], b2: [[-1.66035249]
 [-1.06569412]
 [ 0.1150832 ]
 [-0.20857371]
 [-0.01231937]
 [ 0.50477865]
 [-0.29374294]
 [ 0.14233367]
 [ 0.94295973]
 [ 0.0599555 ]]"
