Iteration,Accuracy
50,0.0911219512195
100,0.4520731707317
150,0.5303414634146
200,0.5774390243902
250,0.7291951219512
300,0.7809512195122
350,0.8151707317073
400,0.8405853658537
450,0.8549024390244
500,0.8656097560976
550,0.8737073170732
600,0.8797073170732
650,0.8842439024390
700,0.8889024390244
750,0.8919024390244
800,0.8950975609756
850,0.8979024390244
900,0.9000487804878
950,0.9019512195122
1000,0.9038780487805
1050,0.9057317073171
1100,0.9067804878049
1150,0.9084634146341
1200,0.9096829268293
1250,0.9103414634146
1300,0.9119024390244
1350,0.9126585365854
1400,0.9127317073171
1450,0.9141707317073
1500,0.9153170731707
"W1: [[-0.07003858  0.34895002 -0.29195903 ... -0.19202915  0.14777116
   0.24692236]
 [-0.13056782  0.38358287 -0.38402227 ... -0.14973485 -0.05615885
  -0.37408706]
 [ 0.15166619 -0.15059844  0.48991608 ...  0.55354062 -0.20114449
  -0.04754954]
 ...
 [-0.23373165 -0.40666904  0.10666866 ... -0.39684779  0.27890076
  -0.15097561]
 [ 0.32955478  0.22795073  0.28852679 ...  0.26803695 -0.32006374
   0.05248911]
 [ 0.4478029  -0.15735078 -0.07710294 ...  0.49241199 -0.40204586
   0.10166032]], b1: [[-1.83790881]
 [-0.30529045]
 [-2.70584173]
 [ 4.73801836]
 [-1.07056658]
 [ 5.49560666]
 [-1.27245286]
 [-3.26223552]
 [ 3.10915504]
 [-2.21545788]], W2: [[-0.11674745 -0.39119017 -0.04851104 -0.0597925   0.60631962  0.50748384
  -0.09018776  0.36500627 -0.29297004 -0.2098227 ]
 [ 0.14400672 -0.3921812   0.77432246  1.01749079  0.37574262 -0.06168939
   0.14428352 -0.43606011 -1.09776985  1.42325934]
 [ 0.7697054   0.79577744  0.47580401 -0.09750618  0.396694    0.4861564
   0.055164   -0.019312   -0.20843938  0.48261155]
 [-0.2076721   1.28590301 -0.19168092  0.26766847 -0.47209075 -0.23460317
  -0.35597034  0.62319882  0.19009887 -0.10593487]
 [-0.08991124 -0.48106451  0.2027426  -0.69662818  0.69641407 -0.26211265
   0.31717692 -0.16460132  1.23720631 -0.31189369]
 [-0.73404534  0.03486546 -0.23883921 -0.20746036 -1.18617741  0.45772205
  -1.359363    0.93208447  0.43548976 -1.05316925]
 [ 0.09187827 -0.89768189  1.31625936 -0.35608596  0.14259691  0.77541335
   0.3239222   0.0648475  -0.20881797 -0.11928991]
 [ 1.36652814  0.73408011 -0.0155642   0.20549996  0.78254358 -0.23394124
   0.09076086 -0.23952952  0.08911416  0.49874331]
 [-0.307891   -0.03827328  0.0930051  -0.01985138 -0.08865475 -0.09505583
  -0.41851643  0.61486748  0.15911249  0.4001275 ]
 [-0.42190316 -0.40407695 -0.60858349  0.33216289  0.62623363 -0.43597399
   0.01371346  0.22157391  0.6910173   0.15818206]], b2: [[ 0.07206097]
 [-0.11831711]
 [ 0.33816868]
 [-0.96551815]
 [-0.95004459]
 [-0.85007252]
 [-0.29209059]
 [ 1.80326155]
 [ 0.01801868]
 [-0.61269063]]"
